freq,psd_x,psd_y,psd_z,psd_xyz,zv(50.6),mzv(48.0),ei(59.8),2hump_ei(73.2),3hump_ei(89.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.992,0.991,0.989,0.988
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987,0.980,0.979,0.975,0.972
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.977,0.966,0.963,0.957,0.953
6.3,1.957e+02,5.258e+00,4.309e+00,2.053e+02,0.965,0.948,0.945,0.935,0.930
7.8,2.459e+02,3.758e+00,3.526e+00,2.532e+02,0.951,0.927,0.923,0.911,0.904
9.4,3.012e+02,3.081e+00,3.055e+00,3.073e+02,0.935,0.903,0.899,0.883,0.875
11.0,3.552e+02,2.832e+00,2.987e+00,3.610e+02,0.916,0.877,0.872,0.853,0.844
12.5,4.147e+02,2.508e+00,3.201e+00,4.205e+02,0.896,0.849,0.843,0.820,0.810
14.1,4.758e+02,2.327e+00,4.434e+00,4.826e+02,0.874,0.817,0.811,0.785,0.774
15.6,5.455e+02,2.275e+00,4.406e+00,5.522e+02,0.849,0.784,0.777,0.748,0.736
17.2,6.288e+02,2.255e+00,2.713e+00,6.337e+02,0.823,0.749,0.742,0.709,0.696
18.8,7.123e+02,2.184e+00,1.956e+00,7.164e+02,0.796,0.712,0.705,0.670,0.656
20.3,7.943e+02,2.144e+00,2.001e+00,7.985e+02,0.766,0.674,0.667,0.629,0.614
21.9,8.878e+02,2.006e+00,1.813e+00,8.916e+02,0.736,0.635,0.627,0.587,0.572
23.5,9.917e+02,2.008e+00,1.593e+00,9.953e+02,0.703,0.594,0.587,0.545,0.530
25.0,1.113e+03,2.151e+00,1.575e+00,1.116e+03,0.669,0.553,0.546,0.503,0.488
26.6,1.266e+03,2.510e+00,1.871e+00,1.270e+03,0.634,0.511,0.505,0.461,0.446
28.2,1.471e+03,3.097e+00,2.334e+00,1.477e+03,0.598,0.468,0.464,0.420,0.405
29.7,1.709e+03,3.689e+00,2.839e+00,1.715e+03,0.560,0.426,0.424,0.380,0.365
31.3,1.932e+03,4.570e+00,3.479e+00,1.940e+03,0.522,0.384,0.383,0.340,0.327
32.9,2.032e+03,5.222e+00,4.068e+00,2.041e+03,0.483,0.342,0.344,0.302,0.290
34.4,2.106e+03,5.721e+00,5.050e+00,2.117e+03,0.442,0.301,0.305,0.265,0.254
36.0,2.371e+03,6.534e+00,7.714e+00,2.385e+03,0.401,0.261,0.268,0.230,0.221
37.6,2.844e+03,9.694e+00,1.286e+01,2.866e+03,0.360,0.222,0.232,0.197,0.189
39.1,3.408e+03,1.622e+01,2.179e+01,3.446e+03,0.318,0.184,0.198,0.166,0.160
40.7,4.102e+03,2.638e+01,3.522e+01,4.164e+03,0.275,0.148,0.166,0.138,0.134
42.3,5.042e+03,3.922e+01,5.745e+01,5.138e+03,0.233,0.114,0.135,0.112,0.110
43.8,6.264e+03,5.105e+01,7.137e+01,6.386e+03,0.190,0.081,0.108,0.089,0.089
45.4,8.435e+03,5.401e+01,9.854e+01,8.588e+03,0.148,0.054,0.082,0.068,0.071
46.9,1.125e+04,8.374e+01,2.873e+02,1.162e+04,0.109,0.038,0.059,0.051,0.056
48.5,1.247e+04,1.327e+02,5.921e+02,1.319e+04,0.080,0.035,0.040,0.038,0.046
50.1,1.111e+04,1.393e+02,8.318e+02,1.208e+04,0.063,0.043,0.026,0.030,0.040
51.6,9.160e+03,1.328e+02,1.084e+03,1.038e+04,0.067,0.058,0.020,0.027,0.037
53.2,7.222e+03,1.225e+02,1.330e+03,8.675e+03,0.089,0.076,0.023,0.029,0.037
54.8,5.245e+03,1.129e+02,1.467e+03,6.826e+03,0.118,0.092,0.029,0.033,0.038
56.3,3.396e+03,9.226e+01,1.239e+03,4.728e+03,0.158,0.106,0.035,0.036,0.039
57.9,2.106e+03,6.353e+01,8.370e+02,3.006e+03,0.198,0.117,0.039,0.038,0.040
59.5,1.654e+03,5.219e+01,6.869e+02,2.393e+03,0.237,0.125,0.040,0.038,0.040
61.0,1.450e+03,4.498e+01,6.158e+02,2.111e+03,0.276,0.130,0.038,0.038,0.038
62.6,1.478e+03,3.587e+01,5.641e+02,2.078e+03,0.314,0.133,0.034,0.036,0.036
64.2,1.512e+03,2.705e+01,5.292e+02,2.068e+03,0.351,0.133,0.031,0.033,0.033
65.7,1.566e+03,1.843e+01,4.672e+02,2.052e+03,0.387,0.130,0.029,0.029,0.030
67.3,1.274e+03,1.898e+01,3.537e+02,1.647e+03,0.421,0.125,0.028,0.024,0.026
68.9,8.330e+02,2.334e+01,2.342e+02,1.091e+03,0.455,0.117,0.031,0.019,0.022
70.4,5.091e+02,2.000e+01,1.331e+02,6.622e+02,0.487,0.107,0.037,0.013,0.017
72.0,3.327e+02,1.652e+01,7.522e+01,4.244e+02,0.518,0.097,0.047,0.011,0.014
73.5,2.627e+02,3.621e+01,4.529e+01,3.442e+02,0.547,0.091,0.061,0.011,0.012
75.1,2.623e+02,9.820e+01,2.214e+01,3.827e+02,0.575,0.086,0.083,0.012,0.012
76.7,3.906e+02,2.572e+02,1.199e+01,6.599e+02,0.601,0.082,0.106,0.015,0.014
78.2,7.005e+02,5.425e+02,2.109e+01,1.264e+03,0.625,0.080,0.130,0.020,0.017
79.8,1.019e+03,8.304e+02,4.619e+01,1.895e+03,0.648,0.082,0.155,0.024,0.021
81.4,1.106e+03,9.538e+02,7.119e+01,2.131e+03,0.670,0.087,0.181,0.028,0.024
82.9,1.097e+03,1.106e+03,1.054e+02,2.308e+03,0.689,0.096,0.208,0.030,0.026
84.5,9.961e+02,1.176e+03,1.318e+02,2.304e+03,0.707,0.107,0.236,0.032,0.028
86.1,8.855e+02,1.188e+03,1.656e+02,2.239e+03,0.723,0.121,0.264,0.032,0.029
87.6,8.735e+02,1.160e+03,1.975e+02,2.231e+03,0.737,0.137,0.292,0.030,0.030
89.2,8.410e+02,1.063e+03,2.033e+02,2.107e+03,0.749,0.164,0.320,0.028,0.030
90.8,8.138e+02,1.031e+03,2.238e+02,2.068e+03,0.760,0.194,0.347,0.027,0.029
92.3,7.711e+02,9.610e+02,2.537e+02,1.986e+03,0.769,0.224,0.374,0.027,0.027
93.9,6.891e+02,8.242e+02,2.788e+02,1.792e+03,0.775,0.254,0.400,0.027,0.025
95.5,6.143e+02,6.403e+02,2.897e+02,1.544e+03,0.780,0.284,0.426,0.029,0.022
97.0,5.868e+02,6.576e+02,3.806e+02,1.625e+03,0.783,0.313,0.450,0.032,0.019
98.6,4.877e+02,6.732e+02,4.162e+02,1.577e+03,0.784,0.342,0.474,0.036,0.015
100.2,4.338e+02,7.084e+02,4.167e+02,1.559e+03,0.783,0.370,0.495,0.042,0.013
101.7,4.145e+02,7.090e+02,4.274e+02,1.551e+03,0.781,0.398,0.516,0.050,0.013
103.3,4.012e+02,6.336e+02,4.222e+02,1.457e+03,0.776,0.425,0.534,0.067,0.012
104.8,3.763e+02,5.698e+02,4.088e+02,1.355e+03,0.770,0.450,0.551,0.085,0.012
106.4,3.009e+02,5.303e+02,4.082e+02,1.239e+03,0.762,0.474,0.566,0.103,0.013
108.0,2.088e+02,4.822e+02,4.058e+02,1.097e+03,0.753,0.497,0.580,0.123,0.014
109.5,1.684e+02,3.748e+02,3.828e+02,9.260e+02,0.741,0.518,0.591,0.144,0.015
111.1,1.653e+02,2.728e+02,3.585e+02,7.966e+02,0.728,0.538,0.600,0.165,0.019
112.7,1.569e+02,2.313e+02,3.285e+02,7.167e+02,0.714,0.555,0.606,0.187,0.021
114.2,1.435e+02,2.018e+02,3.016e+02,6.469e+02,0.698,0.571,0.611,0.209,0.023
115.8,1.336e+02,2.017e+02,2.954e+02,6.307e+02,0.680,0.585,0.614,0.231,0.025
117.4,1.214e+02,2.070e+02,2.910e+02,6.195e+02,0.661,0.597,0.614,0.253,0.025
118.9,1.190e+02,1.868e+02,2.832e+02,5.890e+02,0.641,0.607,0.612,0.275,0.024
120.5,1.074e+02,1.961e+02,2.745e+02,5.780e+02,0.619,0.615,0.608,0.297,0.023
122.1,9.782e+01,1.947e+02,2.558e+02,5.484e+02,0.596,0.621,0.602,0.318,0.024
123.6,9.265e+01,1.829e+02,2.239e+02,4.995e+02,0.572,0.624,0.594,0.339,0.024
125.2,8.492e+01,1.613e+02,1.864e+02,4.326e+02,0.547,0.626,0.584,0.358,0.025
126.8,7.940e+01,1.390e+02,1.528e+02,3.712e+02,0.521,0.625,0.572,0.377,0.027
128.3,7.395e+01,1.202e+02,1.295e+02,3.236e+02,0.494,0.622,0.558,0.394,0.029
129.9,7.073e+01,9.904e+01,1.125e+02,2.822e+02,0.466,0.617,0.543,0.410,0.032
131.4,7.474e+01,8.404e+01,1.025e+02,2.613e+02,0.437,0.610,0.526,0.425,0.035
133.0,7.682e+01,5.805e+01,7.337e+01,2.082e+02,0.408,0.601,0.507,0.438,0.039
134.6,8.135e+01,3.951e+01,4.859e+01,1.695e+02,0.380,0.590,0.487,0.449,0.046
136.1,7.464e+01,3.848e+01,4.137e+01,1.545e+02,0.365,0.578,0.467,0.459,0.059
137.7,5.504e+01,2.584e+01,3.176e+01,1.126e+02,0.350,0.563,0.445,0.466,0.074
139.3,5.772e+01,1.655e+01,3.689e+01,1.112e+02,0.337,0.547,0.422,0.472,0.089
140.8,8.484e+01,1.697e+01,5.846e+01,1.603e+02,0.324,0.530,0.398,0.477,0.104
142.4,1.139e+02,3.352e+01,8.143e+01,2.288e+02,0.313,0.511,0.374,0.479,0.121
144.0,1.310e+02,5.084e+01,9.290e+01,2.747e+02,0.303,0.491,0.350,0.479,0.138
145.5,1.444e+02,7.012e+01,9.964e+01,3.142e+02,0.295,0.470,0.325,0.477,0.155
147.1,1.464e+02,8.197e+01,9.549e+01,3.239e+02,0.289,0.447,0.301,0.474,0.172
148.7,1.415e+02,8.691e+01,8.411e+01,3.125e+02,0.285,0.424,0.276,0.468,0.190
150.2,1.398e+02,9.190e+01,7.719e+01,3.089e+02,0.283,0.401,0.252,0.461,0.207
151.8,1.075e+02,8.530e+01,5.350e+01,2.463e+02,0.282,0.377,0.228,0.452,0.224
153.4,1.124e+02,8.952e+01,5.048e+01,2.524e+02,0.284,0.352,0.205,0.442,0.241
154.9,1.681e+02,1.085e+02,7.616e+01,3.528e+02,0.288,0.327,0.183,0.430,0.258
156.5,3.294e+02,1.559e+02,1.591e+02,6.444e+02,0.293,0.303,0.164,0.416,0.273
158.1,5.232e+02,1.999e+02,2.609e+02,9.839e+02,0.300,0.278,0.154,0.402,0.288
159.6,5.437e+02,1.916e+02,2.802e+02,1.015e+03,0.308,0.254,0.144,0.386,0.302
161.2,5.355e+02,1.838e+02,2.872e+02,1.006e+03,0.317,0.230,0.136,0.369,0.315
162.7,5.282e+02,1.779e+02,2.899e+02,9.961e+02,0.327,0.218,0.128,0.351,0.327
164.3,4.097e+02,1.450e+02,2.391e+02,7.938e+02,0.338,0.208,0.121,0.333,0.338
165.9,2.960e+02,1.199e+02,1.867e+02,6.026e+02,0.349,0.199,0.115,0.314,0.347
167.4,2.805e+02,1.209e+02,1.804e+02,5.818e+02,0.360,0.191,0.110,0.294,0.355
169.0,3.028e+02,1.336e+02,1.905e+02,6.269e+02,0.380,0.184,0.106,0.275,0.361
170.6,3.193e+02,1.316e+02,1.934e+02,6.444e+02,0.405,0.177,0.102,0.255,0.366
172.1,3.326e+02,1.199e+02,1.949e+02,6.474e+02,0.428,0.171,0.100,0.235,0.370
173.7,3.599e+02,1.229e+02,2.077e+02,6.905e+02,0.451,0.166,0.097,0.216,0.371
175.3,3.875e+02,1.194e+02,2.180e+02,7.250e+02,0.473,0.162,0.096,0.196,0.372
176.8,4.149e+02,1.244e+02,2.283e+02,7.676e+02,0.493,0.159,0.095,0.177,0.370
178.4,4.215e+02,1.227e+02,2.289e+02,7.730e+02,0.513,0.156,0.095,0.159,0.368
180.0,4.209e+02,1.187e+02,2.310e+02,7.706e+02,0.531,0.154,0.096,0.142,0.364
181.5,3.931e+02,1.107e+02,2.196e+02,7.234e+02,0.548,0.152,0.096,0.125,0.358
183.1,3.671e+02,1.027e+02,2.067e+02,6.765e+02,0.564,0.151,0.098,0.110,0.351
184.7,3.579e+02,9.741e+01,2.030e+02,6.583e+02,0.579,0.150,0.100,0.096,0.342
