freq,psd_x,psd_y,psd_z,psd_xyz,zv(62.2),mzv(38.8),ei(55.4),2hump_ei(48.6),3hump_ei(48.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.996,0.989,0.990,0.982,0.975
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.990,0.974,0.977,0.956,0.938
4.7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.953,0.959,0.923,0.890
6.3,6.263e+00,1.731e+02,2.068e+00,1.814e+02,0.974,0.928,0.938,0.882,0.832
7.8,3.746e+00,2.306e+02,1.754e+00,2.361e+02,0.964,0.899,0.914,0.836,0.766
9.4,2.814e+00,2.831e+02,1.725e+00,2.876e+02,0.953,0.865,0.887,0.784,0.695
11.0,2.467e+00,3.543e+02,1.786e+00,3.586e+02,0.940,0.828,0.856,0.727,0.620
12.5,2.089e+00,4.522e+02,2.934e+00,4.572e+02,0.926,0.788,0.823,0.668,0.542
14.1,1.979e+00,5.446e+02,6.518e+00,5.531e+02,0.910,0.744,0.787,0.606,0.465
15.6,1.956e+00,6.308e+02,6.329e+00,6.391e+02,0.893,0.698,0.749,0.543,0.390
17.2,1.750e+00,7.209e+02,2.701e+00,7.254e+02,0.875,0.650,0.710,0.479,0.318
18.8,1.763e+00,8.423e+02,1.544e+00,8.456e+02,0.855,0.600,0.668,0.417,0.252
20.3,2.055e+00,9.343e+02,2.399e+00,9.388e+02,0.835,0.549,0.626,0.356,0.192
21.9,2.777e+00,7.354e+02,2.735e+00,7.409e+02,0.813,0.497,0.583,0.299,0.140
23.5,3.771e+00,4.495e+02,3.294e+00,4.566e+02,0.790,0.445,0.539,0.244,0.097
25.0,5.171e+00,2.709e+02,3.987e+00,2.801e+02,0.766,0.393,0.494,0.194,0.064
26.6,6.841e+00,2.231e+02,4.407e+00,2.343e+02,0.741,0.341,0.450,0.149,0.044
28.2,8.601e+00,2.559e+02,6.013e+00,2.705e+02,0.715,0.290,0.406,0.109,0.037
29.7,1.102e+01,3.058e+02,8.612e+00,3.254e+02,0.688,0.241,0.363,0.076,0.038
31.3,1.363e+01,3.646e+02,1.307e+01,3.913e+02,0.660,0.194,0.321,0.049,0.040
32.9,1.445e+01,4.515e+02,2.016e+01,4.861e+02,0.631,0.149,0.280,0.032,0.039
34.4,1.553e+01,5.722e+02,3.323e+01,6.210e+02,0.602,0.106,0.241,0.028,0.035
36.0,2.020e+01,6.389e+02,5.572e+01,7.148e+02,0.571,0.067,0.204,0.031,0.029
37.6,2.934e+01,6.479e+02,1.249e+02,8.022e+02,0.540,0.042,0.169,0.036,0.021
39.1,4.181e+01,8.413e+02,5.238e+02,1.407e+03,0.509,0.035,0.136,0.038,0.014
40.7,7.618e+01,8.916e+02,1.598e+03,2.565e+03,0.476,0.045,0.106,0.038,0.012
42.3,1.176e+02,4.849e+02,1.848e+03,2.450e+03,0.444,0.065,0.079,0.034,0.016
43.8,1.302e+02,2.076e+02,1.444e+03,1.781e+03,0.410,0.087,0.055,0.028,0.022
45.4,1.254e+02,1.102e+02,1.130e+03,1.366e+03,0.377,0.104,0.035,0.021,0.027
46.9,1.639e+02,1.297e+02,1.037e+03,1.330e+03,0.343,0.118,0.022,0.013,0.030
48.5,2.665e+02,2.251e+02,1.030e+03,1.522e+03,0.309,0.127,0.020,0.011,0.030
50.1,4.654e+02,3.686e+02,1.039e+03,1.873e+03,0.274,0.132,0.026,0.012,0.028
51.6,8.592e+02,5.923e+02,1.123e+03,2.574e+03,0.239,0.133,0.033,0.019,0.023
53.2,8.557e+02,5.156e+02,1.080e+03,2.452e+03,0.205,0.130,0.038,0.025,0.017
54.8,6.630e+02,5.217e+02,1.131e+03,2.316e+03,0.170,0.123,0.040,0.030,0.013
56.3,4.848e+02,6.539e+02,1.204e+03,2.343e+03,0.136,0.112,0.039,0.032,0.012
57.9,3.450e+02,7.402e+02,1.161e+03,2.246e+03,0.106,0.099,0.035,0.031,0.013
59.5,2.737e+02,9.377e+02,1.262e+03,2.473e+03,0.082,0.091,0.031,0.027,0.015
61.0,1.817e+02,1.345e+03,1.607e+03,3.133e+03,0.066,0.085,0.029,0.027,0.021
62.6,8.150e+01,1.765e+03,1.969e+03,3.815e+03,0.063,0.081,0.028,0.028,0.024
64.2,6.713e+01,1.680e+03,1.865e+03,3.613e+03,0.073,0.081,0.032,0.031,0.025
65.7,7.605e+01,1.392e+03,1.559e+03,3.027e+03,0.093,0.087,0.040,0.038,0.023
67.3,8.012e+01,1.130e+03,1.293e+03,2.503e+03,0.117,0.098,0.051,0.048,0.024
68.9,8.599e+01,8.272e+02,1.027e+03,1.940e+03,0.150,0.113,0.072,0.072,0.027
70.4,9.913e+01,5.725e+02,7.988e+02,1.470e+03,0.182,0.132,0.096,0.099,0.031
72.0,9.245e+01,3.956e+02,5.244e+02,1.012e+03,0.215,0.162,0.121,0.129,0.038
73.5,6.429e+01,2.786e+02,2.564e+02,5.993e+02,0.247,0.198,0.148,0.160,0.052
75.1,4.728e+01,1.986e+02,1.339e+02,3.798e+02,0.278,0.235,0.176,0.193,0.078
76.7,3.580e+01,1.554e+02,9.124e+01,2.824e+02,0.309,0.272,0.206,0.227,0.106
78.2,2.717e+01,1.548e+02,7.690e+01,2.589e+02,0.339,0.309,0.235,0.260,0.137
79.8,1.929e+01,1.879e+02,8.521e+01,2.924e+02,0.368,0.345,0.265,0.293,0.168
81.4,1.161e+01,2.143e+02,9.192e+01,3.178e+02,0.397,0.380,0.295,0.325,0.201
82.9,1.505e+01,1.905e+02,7.860e+01,2.842e+02,0.425,0.413,0.325,0.355,0.232
84.5,2.971e+01,1.316e+02,6.848e+01,2.298e+02,0.452,0.445,0.355,0.383,0.262
86.1,4.523e+01,7.444e+01,5.530e+01,1.750e+02,0.479,0.475,0.384,0.408,0.290
87.6,5.974e+01,4.587e+01,4.177e+01,1.474e+02,0.504,0.503,0.412,0.429,0.315
89.2,6.442e+01,3.705e+01,3.166e+01,1.331e+02,0.529,0.528,0.439,0.447,0.336
90.8,6.053e+01,3.915e+01,1.880e+01,1.185e+02,0.552,0.551,0.465,0.462,0.352
92.3,5.305e+01,6.524e+01,1.188e+01,1.302e+02,0.575,0.571,0.489,0.472,0.364
93.9,4.247e+01,9.542e+01,1.097e+01,1.489e+02,0.596,0.588,0.511,0.478,0.370
95.5,2.894e+01,1.075e+02,1.187e+01,1.483e+02,0.616,0.602,0.532,0.479,0.372
97.0,1.947e+01,1.141e+02,1.124e+01,1.448e+02,0.636,0.613,0.550,0.476,0.368
98.6,1.625e+01,1.107e+02,8.994e+00,1.359e+02,0.654,0.620,0.566,0.469,0.359
100.2,2.620e+01,9.592e+01,7.149e+00,1.293e+02,0.671,0.625,0.581,0.458,0.345
101.7,5.959e+01,1.371e+02,7.010e+00,2.037e+02,0.687,0.626,0.592,0.443,0.327
103.3,9.442e+01,1.598e+02,8.020e+00,2.623e+02,0.702,0.623,0.601,0.424,0.306
104.8,1.150e+02,1.338e+02,8.721e+00,2.575e+02,0.715,0.618,0.608,0.403,0.282
106.4,1.167e+02,1.259e+02,9.363e+00,2.520e+02,0.728,0.609,0.612,0.379,0.255
108.0,1.148e+02,1.256e+02,1.082e+01,2.512e+02,0.739,0.597,0.614,0.353,0.228
109.5,1.073e+02,1.149e+02,1.312e+01,2.354e+02,0.749,0.583,0.613,0.325,0.199
111.1,9.532e+01,1.059e+02,1.588e+01,2.171e+02,0.758,0.566,0.610,0.296,0.171
