freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.700e+01,2.092e+01,2.520e+02,2.999e+02
1.6,3.423e+01,2.910e+01,1.589e+02,2.222e+02
3.1,2.613e+01,2.532e+01,3.950e+01,9.094e+01
4.7,2.471e+01,2.259e+01,3.720e+02,4.193e+02
6.3,2.577e+01,2.383e+01,1.231e+03,1.281e+03
7.8,2.637e+01,2.473e+01,1.881e+03,1.932e+03
9.4,2.627e+01,2.525e+01,2.703e+03,2.755e+03
10.9,2.857e+01,2.507e+01,3.688e+03,3.741e+03
12.5,2.865e+01,2.823e+01,4.852e+03,4.909e+03
14.1,2.673e+01,3.249e+01,6.378e+03,6.438e+03
15.6,2.503e+01,3.638e+01,8.105e+03,8.166e+03
17.2,2.799e+01,4.034e+01,1.008e+04,1.015e+04
18.8,2.859e+01,4.404e+01,1.237e+04,1.244e+04
20.3,2.614e+01,4.485e+01,1.466e+04,1.473e+04
21.9,3.170e+01,4.531e+01,1.695e+04,1.703e+04
23.5,3.348e+01,4.541e+01,1.969e+04,1.977e+04
25.0,3.775e+01,6.248e+01,2.356e+04,2.366e+04
26.6,4.310e+01,7.763e+01,2.849e+04,2.861e+04
28.1,5.972e+01,1.034e+02,3.425e+04,3.441e+04
29.7,8.995e+01,1.532e+02,4.109e+04,4.134e+04
31.3,1.339e+02,2.492e+02,4.872e+04,4.911e+04
32.8,1.709e+02,3.834e+02,5.465e+04,5.521e+04
34.4,2.076e+02,4.961e+02,5.902e+04,5.972e+04
36.0,2.499e+02,5.205e+02,6.494e+04,6.571e+04
37.5,3.075e+02,5.917e+02,7.334e+04,7.424e+04
39.1,3.856e+02,7.647e+02,8.652e+04,8.767e+04
40.7,5.518e+02,1.169e+03,1.063e+05,1.080e+05
42.2,7.985e+02,1.849e+03,1.347e+05,1.374e+05
43.8,1.138e+03,2.921e+03,1.819e+05,1.859e+05
45.3,2.178e+03,3.823e+03,2.411e+05,2.471e+05
46.9,3.657e+03,4.138e+03,2.855e+05,2.933e+05
48.5,1.015e+04,4.273e+03,3.653e+05,3.797e+05
50.0,2.996e+04,6.039e+03,4.758e+05,5.118e+05
51.6,5.723e+04,1.095e+04,5.687e+05,6.369e+05
53.2,6.899e+04,1.559e+04,5.876e+05,6.722e+05
54.7,7.301e+04,1.775e+04,5.580e+05,6.487e+05
56.3,6.815e+04,1.537e+04,4.496e+05,5.331e+05
57.9,5.282e+04,9.543e+03,2.598e+05,3.222e+05
59.4,3.851e+04,7.065e+03,1.578e+05,2.034e+05
61.0,2.747e+04,7.211e+03,1.117e+05,1.464e+05
62.5,2.593e+04,7.002e+03,8.716e+04,1.201e+05
64.1,1.833e+04,5.311e+03,6.617e+04,8.981e+04
65.7,8.272e+03,3.419e+03,4.744e+04,5.913e+04
67.2,4.930e+03,2.538e+03,3.049e+04,3.795e+04
68.8,9.068e+03,3.281e+03,2.254e+04,3.488e+04
70.4,1.215e+04,3.418e+03,1.983e+04,3.540e+04
71.9,1.086e+04,3.338e+03,1.800e+04,3.220e+04
73.5,9.594e+03,3.655e+03,1.645e+04,2.970e+04
75.1,9.120e+03,3.670e+03,1.319e+04,2.598e+04
76.6,9.268e+03,2.842e+03,1.020e+04,2.231e+04
78.2,9.145e+03,2.860e+03,1.220e+04,2.420e+04
79.7,8.079e+03,4.966e+03,1.821e+04,3.126e+04
81.3,7.077e+03,6.554e+03,2.181e+04,3.544e+04
82.9,6.365e+03,1.152e+04,3.105e+04,4.893e+04
84.4,6.092e+03,2.176e+04,5.030e+04,7.815e+04
86.0,8.119e+03,3.725e+04,7.869e+04,1.241e+05
87.6,8.831e+03,3.859e+04,7.372e+04,1.211e+05
89.1,8.309e+03,2.674e+04,5.696e+04,9.202e+04
90.7,1.215e+04,3.042e+04,6.329e+04,1.059e+05
92.2,1.536e+04,3.859e+04,6.546e+04,1.194e+05
93.8,2.084e+04,5.098e+04,6.774e+04,1.396e+05
95.4,2.662e+04,5.617e+04,6.743e+04,1.502e+05
96.9,3.279e+04,5.925e+04,6.448e+04,1.565e+05
98.5,3.414e+04,5.897e+04,5.619e+04,1.493e+05
100.1,3.243e+04,5.664e+04,4.811e+04,1.372e+05
101.6,3.048e+04,5.197e+04,4.097e+04,1.234e+05
103.2,3.206e+04,5.168e+04,3.452e+04,1.183e+05
104.8,3.528e+04,5.801e+04,2.929e+04,1.226e+05
106.3,3.717e+04,6.243e+04,2.560e+04,1.252e+05
107.9,3.585e+04,5.968e+04,2.290e+04,1.184e+05
109.4,3.211e+04,5.296e+04,2.086e+04,1.059e+05
111.0,2.971e+04,4.829e+04,1.917e+04,9.717e+04
112.6,2.727e+04,4.409e+04,1.705e+04,8.841e+04
114.1,2.473e+04,3.860e+04,1.499e+04,7.833e+04
115.7,2.153e+04,3.324e+04,1.374e+04,6.851e+04
117.3,1.929e+04,3.142e+04,1.287e+04,6.359e+04
118.8,1.893e+04,3.187e+04,1.276e+04,6.356e+04
120.4,1.795e+04,3.168e+04,1.188e+04,6.151e+04
122.0,1.551e+04,2.891e+04,1.067e+04,5.508e+04
123.5,1.415e+04,2.514e+04,1.110e+04,5.039e+04
125.1,1.407e+04,2.229e+04,1.172e+04,4.808e+04
126.6,1.403e+04,2.074e+04,1.126e+04,4.603e+04
128.2,1.429e+04,2.061e+04,1.020e+04,4.510e+04
129.8,1.436e+04,2.196e+04,8.590e+03,4.491e+04
131.3,1.319e+04,2.337e+04,6.485e+03,4.305e+04
132.9,9.639e+03,1.772e+04,4.759e+03,3.212e+04
134.5,6.188e+03,9.064e+03,4.238e+03,1.949e+04
136.0,6.942e+03,7.995e+03,5.082e+03,2.002e+04
137.6,8.105e+03,9.221e+03,6.122e+03,2.345e+04
139.2,8.794e+03,1.188e+04,7.454e+03,2.812e+04
140.7,9.723e+03,1.288e+04,1.000e+04,3.260e+04
142.3,1.128e+04,1.392e+04,1.353e+04,3.873e+04
143.8,1.298e+04,1.604e+04,1.745e+04,4.648e+04
145.4,1.663e+04,1.850e+04,2.354e+04,5.867e+04
147.0,2.063e+04,2.078e+04,2.976e+04,7.117e+04
148.5,2.544e+04,2.454e+04,3.642e+04,8.640e+04
150.1,3.096e+04,2.784e+04,4.336e+04,1.022e+05
151.7,3.656e+04,3.181e+04,5.327e+04,1.216e+05
153.2,4.008e+04,3.562e+04,6.311e+04,1.388e+05
154.8,4.110e+04,3.597e+04,7.139e+04,1.485e+05
156.4,4.069e+04,3.540e+04,7.657e+04,1.527e+05
