freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.535e+01,1.573e+02,8.139e+00,2.008e+02
1.6,2.987e+01,9.996e+01,2.204e+01,1.519e+02
3.1,1.393e+01,2.655e+01,2.533e+01,6.580e+01
4.7,1.441e+01,3.705e+02,2.435e+01,4.092e+02
6.3,1.518e+01,1.094e+03,2.778e+01,1.137e+03
7.8,1.538e+01,1.678e+03,3.091e+01,1.724e+03
9.4,1.462e+01,2.460e+03,2.602e+01,2.501e+03
10.9,1.305e+01,3.573e+03,2.656e+01,3.613e+03
12.5,1.386e+01,5.353e+03,2.759e+01,5.394e+03
14.1,2.230e+01,7.411e+03,2.870e+01,7.462e+03
15.6,3.636e+01,9.268e+03,3.483e+01,9.339e+03
17.2,3.427e+01,1.121e+04,3.824e+01,1.128e+04
18.8,2.749e+01,1.357e+04,3.790e+01,1.364e+04
20.3,2.882e+01,1.705e+04,3.173e+01,1.711e+04
21.9,3.854e+01,2.082e+04,3.098e+01,2.089e+04
23.5,5.707e+01,2.554e+04,4.067e+01,2.564e+04
25.0,8.327e+01,3.200e+04,4.900e+01,3.213e+04
26.6,1.426e+02,4.200e+04,4.750e+01,4.219e+04
28.1,2.705e+02,5.682e+04,5.654e+01,5.715e+04
29.7,5.171e+02,7.698e+04,6.853e+01,7.757e+04
31.3,1.074e+03,1.054e+05,6.712e+01,1.065e+05
32.8,2.616e+03,1.430e+05,5.305e+01,1.457e+05
34.4,7.969e+03,2.028e+05,7.533e+01,2.108e+05
36.0,2.081e+04,2.711e+05,1.199e+02,2.921e+05
37.5,3.835e+04,2.820e+05,2.411e+02,3.206e+05
39.1,5.618e+04,2.519e+05,4.039e+02,3.085e+05
40.7,5.471e+04,1.703e+05,5.013e+02,2.255e+05
42.2,3.562e+04,9.552e+04,3.837e+02,1.315e+05
43.8,2.678e+04,6.172e+04,3.524e+02,8.885e+04
45.3,3.042e+04,3.930e+04,3.647e+02,7.009e+04
46.9,3.352e+04,1.865e+04,3.586e+02,5.253e+04
48.5,3.938e+04,6.822e+03,4.554e+02,4.665e+04
50.0,4.578e+04,2.163e+03,7.280e+02,4.867e+04
51.6,5.003e+04,2.290e+03,8.561e+02,5.318e+04
53.2,4.901e+04,3.866e+03,7.997e+02,5.368e+04
54.7,4.264e+04,5.486e+03,6.267e+02,4.876e+04
56.3,3.987e+04,1.015e+04,6.440e+02,5.067e+04
57.9,4.107e+04,1.754e+04,1.066e+03,5.968e+04
59.4,3.654e+04,2.001e+04,1.974e+03,5.852e+04
61.0,2.832e+04,1.738e+04,2.703e+03,4.840e+04
62.5,2.061e+04,1.329e+04,3.777e+03,3.768e+04
64.1,1.526e+04,1.032e+04,5.240e+03,3.081e+04
65.7,1.173e+04,8.151e+03,6.061e+03,2.594e+04
67.2,1.057e+04,7.093e+03,5.022e+03,2.268e+04
68.8,1.126e+04,6.318e+03,2.893e+03,2.047e+04
70.4,1.442e+04,5.708e+03,1.492e+03,2.162e+04
71.9,1.875e+04,5.522e+03,9.438e+02,2.521e+04
73.5,1.815e+04,4.685e+03,6.776e+02,2.351e+04
75.0,1.203e+04,3.925e+03,5.671e+02,1.652e+04
76.6,7.462e+03,5.157e+03,7.497e+02,1.337e+04
78.2,5.787e+03,7.335e+03,1.277e+03,1.440e+04
79.7,4.947e+03,9.214e+03,1.911e+03,1.607e+04
81.3,3.940e+03,1.003e+04,2.232e+03,1.620e+04
82.9,2.720e+03,1.025e+04,2.073e+03,1.505e+04
84.4,1.686e+03,9.958e+03,1.567e+03,1.321e+04
86.0,1.083e+03,9.577e+03,1.052e+03,1.171e+04
87.6,8.101e+02,1.008e+04,9.210e+02,1.181e+04
89.1,7.346e+02,1.134e+04,1.125e+03,1.320e+04
90.7,7.312e+02,1.243e+04,1.137e+03,1.430e+04
92.2,5.944e+02,1.276e+04,7.258e+02,1.408e+04
93.8,5.883e+02,1.320e+04,6.219e+02,1.441e+04
95.4,6.101e+02,1.349e+04,7.695e+02,1.486e+04
96.9,5.862e+02,1.399e+04,9.721e+02,1.555e+04
98.5,5.727e+02,1.484e+04,1.278e+03,1.669e+04
100.1,5.880e+02,1.561e+04,1.533e+03,1.773e+04
101.6,6.312e+02,1.514e+04,1.650e+03,1.742e+04
103.2,6.598e+02,1.563e+04,1.771e+03,1.806e+04
104.8,6.288e+02,1.724e+04,1.938e+03,1.981e+04
106.3,6.122e+02,1.714e+04,2.261e+03,2.001e+04
107.9,8.933e+02,1.696e+04,3.337e+03,2.119e+04
109.4,1.536e+03,1.795e+04,6.180e+03,2.567e+04
111.0,2.096e+03,1.731e+04,8.469e+03,2.787e+04
112.6,2.117e+03,1.610e+04,8.990e+03,2.720e+04
114.1,1.956e+03,1.499e+04,8.692e+03,2.564e+04
115.7,1.811e+03,1.508e+04,8.235e+03,2.513e+04
117.3,1.625e+03,1.617e+04,7.966e+03,2.577e+04
118.8,1.455e+03,1.669e+04,7.233e+03,2.538e+04
120.4,1.401e+03,1.620e+04,5.938e+03,2.353e+04
122.0,1.424e+03,1.475e+04,4.418e+03,2.059e+04
123.5,1.467e+03,1.200e+04,3.259e+03,1.673e+04
125.1,1.716e+03,1.067e+04,2.875e+03,1.526e+04
126.6,2.204e+03,1.112e+04,2.972e+03,1.629e+04
128.2,2.844e+03,1.245e+04,3.260e+03,1.855e+04
129.8,3.321e+03,1.279e+04,3.593e+03,1.970e+04
131.3,3.095e+03,1.087e+04,3.487e+03,1.745e+04
132.9,1.656e+03,6.168e+03,2.212e+03,1.004e+04
134.5,3.345e+02,1.978e+03,7.231e+02,3.035e+03
136.0,2.538e+02,1.494e+03,4.462e+02,2.194e+03
137.6,5.691e+02,1.741e+03,6.533e+02,2.963e+03
139.2,8.406e+02,1.934e+03,7.815e+02,3.557e+03
140.7,7.420e+02,2.118e+03,6.090e+02,3.469e+03
142.3,7.201e+02,2.243e+03,6.938e+02,3.657e+03
143.8,1.010e+03,1.960e+03,1.288e+03,4.257e+03
145.4,1.239e+03,1.752e+03,2.010e+03,5.001e+03
147.0,1.325e+03,1.375e+03,2.468e+03,5.168e+03
148.5,1.289e+03,1.094e+03,2.584e+03,4.967e+03
150.1,1.144e+03,9.787e+02,2.433e+03,4.556e+03
151.7,8.938e+02,1.028e+03,1.945e+03,3.867e+03
153.2,5.612e+02,1.375e+03,1.203e+03,3.139e+03
154.8,3.039e+02,1.740e+03,4.983e+02,2.542e+03
156.4,2.678e+02,2.012e+03,3.064e+02,2.586e+03
157.9,3.813e+02,2.131e+03,4.709e+02,2.984e+03
159.5,4.990e+02,2.096e+03,7.265e+02,3.322e+03
161.0,5.798e+02,1.685e+03,8.140e+02,3.079e+03
162.6,6.085e+02,1.455e+03,7.141e+02,2.778e+03
164.2,6.833e+02,1.506e+03,6.638e+02,2.853e+03
165.7,8.099e+02,1.738e+03,7.581e+02,3.306e+03
167.3,9.120e+02,1.923e+03,9.499e+02,3.785e+03
168.9,9.924e+02,1.926e+03,1.065e+03,3.984e+03
170.4,1.138e+03,1.791e+03,1.224e+03,4.154e+03
172.0,1.463e+03,1.935e+03,1.587e+03,4.986e+03
173.6,1.620e+03,2.489e+03,1.886e+03,5.995e+03
175.1,1.902e+03,2.706e+03,2.579e+03,7.187e+03
176.7,3.063e+03,2.651e+03,5.237e+03,1.095e+04
178.2,4.786e+03,2.536e+03,9.253e+03,1.657e+04
179.8,5.446e+03,2.590e+03,1.115e+04,1.918e+04
181.4,5.538e+03,2.796e+03,1.202e+04,2.035e+04
182.9,5.861e+03,2.475e+03,1.312e+04,2.146e+04
184.5,5.857e+03,1.997e+03,1.322e+04,2.108e+04
186.1,6.012e+03,1.575e+03,1.351e+04,2.110e+04
187.6,6.239e+03,1.445e+03,1.381e+04,2.149e+04
189.2,6.161e+03,1.756e+03,1.347e+04,2.139e+04
190.8,6.090e+03,2.423e+03,1.298e+04,2.149e+04
192.3,6.581e+03,3.184e+03,1.367e+04,2.344e+04
193.9,7.084e+03,3.716e+03,1.501e+04,2.581e+04
195.4,7.429e+03,3.984e+03,1.651e+04,2.792e+04
197.0,7.297e+03,3.885e+03,1.709e+04,2.827e+04
198.6,7.026e+03,4.224e+03,1.703e+04,2.828e+04
